season,estaca,nido_id,ambiente,huevo,pichon,fecha_puesta,fecha_walkout
s12-13,300,3,,2,2,23/10/1012,20/12/2012
s12-13,300,4,,2,2,23/10/1012,20/12/2012
s12-13,300,5,,2,0,23/10/1012,20/12/2012
s12-13,300,6,,2,2,23/10/1012,20/12/2012
s12-13,300,7,,2,2,23/10/1012,20/12/2012
s12-13,300,8,,2,1,23/10/1012,20/12/2012
s12-13,300,9,,2,2,23/10/1012,20/12/2012
s12-13,300,11,,2,1,23/10/1012,20/12/2012
s12-13,300,12,,2,1,23/10/1012,20/12/2012
s12-13,300,13,,2,2,23/10/1012,20/12/2012
s12-13,300,14,,2,1,23/10/1012,20/12/2012
s12-13,300,15,,2,2,23/10/1012,20/12/2012
s12-13,300,16,,2,1,23/10/1012,20/12/2012
s12-13,300,17,,2,2,23/10/1012,20/12/2012
s12-13,300,19,,2,2,23/10/1012,20/12/2012
s12-13,300,20,,2,2,23/10/1012,20/12/2012
s12-13,400,1,,2,2,27/10/2012,20/12/2012
s12-13,400,3,,2,1,27/10/2012,20/12/2012
s12-13,400,4,,2,1,27/10/2012,20/12/2012
s12-13,400,5,,1,1,27/10/2012,20/12/2012
s12-13,400,6,,2,1,27/10/2012,20/12/2012
s12-13,400,7,,2,1,27/10/2012,20/12/2012
s12-13,400,8,,2,1,27/10/2012,20/12/2012
s12-13,400,9,,2,2,27/10/2012,20/12/2012
s12-13,400,10,,2,2,27/10/2012,20/12/2012
s12-13,400,11,,2,1,27/10/2012,20/12/2012
s12-13,400,13,,2,1,27/10/2012,20/12/2012
s12-13,400,14,,2,2,27/10/2012,20/12/2012
s12-13,400,15,,2,0,27/10/2012,20/12/2012
s12-13,400,16,,2,2,27/10/2012,20/12/2012
s12-13,400,17,,2,2,27/10/2012,20/12/2012
s12-13,400,18,,2,1,27/10/2012,20/12/2012
s12-13,400,19,,2,1,27/10/2012,20/12/2012
s12-13,400,20,,2,1,27/10/2012,20/12/2012
s12-13,500,1,,2,2,27/10/2012,20/12/2012
