"","season","estaca","nido_id","ambiente","huevo","pichon","fecha_puesta","fecha_walkout","ER","colname3","SST","Chla","SSTA","SAM"
"60","s10-11",500,10,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"61","s10-11",500,11,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"62","s10-11",500,12,NA,2,0,2010-11-04,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"63","s10-11",500,13,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"64","s10-11",500,14,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"65","s10-11",500,15,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"66","s10-11",500,16,NA,2,0,2010-11-04,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"67","s10-11",500,17,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"68","s10-11",500,18,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"69","s10-11",500,19,NA,2,1,2010-11-04,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"70","s10-11",500,20,NA,2,2,2010-11-04,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"71","s10-11",600,1,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"72","s10-11",600,2,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"73","s10-11",600,4,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"74","s10-11",600,5,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"75","s10-11",600,6,NA,1,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"76","s10-11",600,7,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"77","s10-11",600,8,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"78","s10-11",600,9,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"79","s10-11",600,10,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"80","s10-11",600,11,NA,1,1,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"81","s10-11",600,12,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"82","s10-11",600,13,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"83","s10-11",600,14,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"84","s10-11",600,15,NA,2,2,2010-10-20,2011-01-04,1,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"85","s10-11",600,16,NA,2,1,2010-10-20,2011-01-04,0.5,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"86","s10-11",600,17,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"87","s10-11",600,19,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"88","s10-11",600,20,NA,2,0,2010-10-20,2011-01-04,0,"MLEON",4.85892195013625,1.63676094604751,-0.237752461884093,0.83656
"89","s11-12",200,1,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"90","s11-12",200,2,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"91","s11-12",200,3,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"92","s11-12",200,4,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"93","s11-12",200,5,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"94","s11-12",200,6,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"95","s11-12",200,7,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"96","s11-12",200,8,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"97","s11-12",200,9,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"98","s11-12",200,10,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"99","s11-12",200,11,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"100","s11-12",200,12,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"101","s11-12",200,13,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"102","s11-12",200,14,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"103","s11-12",200,15,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"104","s11-12",200,16,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"105","s11-12",200,17,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"106","s11-12",200,18,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"107","s11-12",200,19,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"108","s11-12",200,20,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"109","s11-12",300,1,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"110","s11-12",300,2,NA,2,1,2011-10-23,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"111","s11-12",300,3,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"112","s11-12",300,4,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"113","s11-12",300,5,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"114","s11-12",300,7,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"115","s11-12",300,8,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"116","s11-12",300,9,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"117","s11-12",300,10,NA,1,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"118","s11-12",300,11,NA,2,2,2011-10-23,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"119","s11-12",300,13,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"120","s11-12",300,14,NA,2,0,2011-10-23,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"121","s11-12",400,1,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"122","s11-12",400,2,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"123","s11-12",400,3,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"124","s11-12",400,4,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"125","s11-12",400,5,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"126","s11-12",400,6,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"127","s11-12",400,7,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"128","s11-12",400,8,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"129","s11-12",400,9,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"130","s11-12",400,10,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"131","s11-12",400,11,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"132","s11-12",400,12,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"133","s11-12",400,13,NA,2,0,2011-10-29,2011-12-31,0,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"134","s11-12",400,14,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"135","s11-12",400,15,NA,2,2,2011-10-29,2011-12-31,1,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
"136","s11-12",400,16,NA,2,1,2011-10-29,2011-12-31,0.5,"MLEON",5.66246619128218,3.58773041613724,1.38959921656789,0.67088
