arroyo;fecha;hora;am_pm;pabs;temp;manejo
16;24/1/2018;07:26:17;AM;747,11;6,471;sin
16;24/1/2018;08:26:17;AM;746,89;6,471;sin
16;24/1/2018;09:26:17;AM;746,52;6,573;sin
16;24/1/2018;10:26:17;AM;746,62;6,674;sin
16;24/1/2018;11:26:17;AM;746,26;6,775;sin
16;24/1/2018;12:26:17;PM;745,96;7,179;sin
16;24/1/2018;01:26:17;PM;746,53;7,682;sin
16;24/1/2018;02:26:17;PM;745,85;7,782;sin
16;24/1/2018;03:26:17;PM;745,69;8,481;sin
16;24/1/2018;04:26:17;PM;745,61;8,481;sin
16;24/1/2018;05:26:17;PM;746,21;8,382;sin
16;24/1/2018;06:26:17;PM;746,36;8,382;sin
16;24/1/2018;07:26:17;PM;746,4;8,182;sin
16;24/1/2018;08:26:17;PM;746,99;8,082;sin
16;24/1/2018;09:26:17;PM;747,44;7,983;sin
16;24/1/2018;10:26:17;PM;748,01;7,782;sin
16;24/1/2018;11:26:17;PM;748,3;7,682;sin
16;25/1/2018;12:26:17;AM;748,35;7,582;sin
16;25/1/2018;01:26:17;AM;748,23;7,381;sin
16;25/1/2018;02:26:17;AM;748,5;7,179;sin
16;25/1/2018;03:26:17;AM;748,43;7,179;sin
16;25/1/2018;04:26:17;AM;748,4;7,079;sin
16;25/1/2018;05:26:17;AM;748,67;6,877;sin
16;25/1/2018;06:26:17;AM;749,11;6,775;sin
16;25/1/2018;07:26:17;AM;749,11;6,775;sin
16;25/1/2018;08:26:17;AM;749,26;6,775;sin
16;25/1/2018;09:26:17;AM;748,67;6,877;sin
16;25/1/2018;10:26:17;AM;748,25;7,079;sin
16;25/1/2018;11:26:17;AM;747,8;7,481;sin
16;25/1/2018;12:26:17;PM;747,26;7,882;sin
16;25/1/2018;01:26:17;PM;747,11;8,282;sin
16;25/1/2018;02:26:17;PM;746,81;8,282;sin
16;25/1/2018;03:26:17;PM;746,21;8,382;sin
16;25/1/2018;04:26:17;PM;745,54;8,481;sin
16;25/1/2018;05:26:17;PM;744,86;8,581;sin
16;25/1/2018;06:26:17;PM;744,23;8,481;sin
16;25/1/2018;07:26:17;PM;743,75;8,382;sin
16;25/1/2018;08:26:17;PM;742,8;8,282;sin
16;25/1/2018;09:26:17;PM;742,47;8,182;sin
16;25/1/2018;10:26:17;PM;741,14;8,082;sin
16;25/1/2018;11:26:17;PM;741,06;8,082;sin
16;26/1/2018;12:26:17;AM;740,5;7,983;sin
16;26/1/2018;01:26:17;AM;740,27;7,983;sin
16;26/1/2018;02:26:17;AM;739,4;7,882;sin
16;26/1/2018;03:26:17;AM;738,32;7,882;sin
16;26/1/2018;04:26:17;AM;737,71;7,882;sin
16;26/1/2018;05:26:17;AM;737,32;7,882;sin
16;26/1/2018;06:26:17;AM;736,91;7,782;sin
16;26/1/2018;07:26:17;AM;737,07;7,782;sin
16;26/1/2018;08:26:17;AM;736,68;7,782;sin
16;26/1/2018;09:26:17;AM;736,7;7,882;sin
16;26/1/2018;10:26:17;AM;736,86;7,882;sin
16;26/1/2018;11:26:17;AM;736,98;8,082;sin
16;26/1/2018;12:26:17;PM;737,51;8,382;sin
16;26/1/2018;01:26:17;PM;737,34;9,077;sin
16;26/1/2018;02:26:17;PM;737,78;10,063;sin
16;26/1/2018;03:26:17;PM;737,86;10,455;sin
16;26/1/2018;04:26:17;PM;738,17;10,455;sin
16;26/1/2018;05:26:17;PM;738,48;10,455;sin
16;26/1/2018;06:26:17;PM;738,71;10,063;sin
16;26/1/2018;07:26:17;PM;739,18;9,768;sin
16;26/1/2018;08:26:17;PM;739,52;9,571;sin
16;26/1/2018;09:26:17;PM;739,87;9,373;sin
16;26/1/2018;10:26:17;PM;740,21;9,176;sin
16;26/1/2018;11:26:17;PM;740,63;8,978;sin
16;27/1/2018;12:26:17;AM;740,84;8,879;sin
16;27/1/2018;01:26:17;AM;740,75;8,779;sin
16;27/1/2018;02:26:17;AM;740,39;8,581;sin
16;27/1/2018;03:26:17;AM;740,06;8,481;sin
16;27/1/2018;04:26:17;AM;739,43;8,382;sin
16;27/1/2018;05:26:17;AM;739,62;8,182;sin
16;27/1/2018;06:26:17;AM;739,42;7,983;sin
16;27/1/2018;07:26:17;AM;739,48;7,882;sin
16;27/1/2018;08:26:17;AM;739,11;7,983;sin
16;27/1/2018;09:26:17;AM;738,9;8,082;sin
16;27/1/2018;10:26:17;AM;738,87;8,282;sin
16;27/1/2018;11:26:17;AM;738,45;8,481;sin
16;27/1/2018;12:26:17;PM;738,14;8,879;sin
16;27/1/2018;01:26:17;PM;738,02;9,373;sin
16;27/1/2018;02:26:17;PM;738,08;9,669;sin
16;27/1/2018;03:26:17;PM;737,72;9,768;sin
16;27/1/2018;04:26:17;PM;737,99;9,571;sin
16;27/1/2018;05:26:17;PM;737,57;9,472;sin
16;27/1/2018;06:26:17;PM;738,13;9,176;sin
16;27/1/2018;07:26:17;PM;738,02;8,978;sin
16;27/1/2018;08:26:17;PM;738,41;8,68;sin
16;27/1/2018;09:26:17;PM;738,14;8,481;sin
16;27/1/2018;10:26:17;PM;738,12;8,382;sin
16;27/1/2018;11:26:17;PM;738,15;8,182;sin
16;28/1/2018;12:26:17;AM;737,72;7,983;sin
16;28/1/2018;01:26:17;AM;737,38;7,782;sin
16;28/1/2018;02:26:17;AM;736,79;7,582;sin
16;28/1/2018;03:26:17;AM;736,03;7,582;sin
16;28/1/2018;04:26:17;AM;735,16;7,481;sin
16;28/1/2018;05:26:17;AM;734,85;7,481;sin
16;28/1/2018;06:26:17;AM;734,45;7,381;sin
16;28/1/2018;07:26:17;AM;734,52;7,381;sin
16;28/1/2018;08:26:17;AM;734,47;7,481;sin
16;28/1/2018;09:26:17;AM;734,41;7,582;sin
16;28/1/2018;10:26:17;AM;734,12;7,682;sin
16;28/1/2018;11:26:17;AM;734,13;8,082;sin
16;28/1/2018;12:26:17;PM;734,54;8,581;sin
16;28/1/2018;01:26:17;PM;734,36;9,176;sin
16;28/1/2018;02:26:17;PM;734,54;9,669;sin
16;28/1/2018;03:26:17;PM;734,99;9,965;sin
16;28/1/2018;04:26:17;PM;735,27;9,866;sin
16;28/1/2018;05:26:17;PM;735,94;9,373;sin
16;28/1/2018;06:26:17;PM;736,43;9,176;sin
16;28/1/2018;07:26:17;PM;737,22;8,879;sin
16;28/1/2018;08:26:17;PM;737,18;8,68;sin
16;28/1/2018;09:26:17;PM;737,51;8,382;sin
16;28/1/2018;10:26:17;PM;737,29;8,082;sin
16;28/1/2018;11:26:17;PM;737,32;7,882;sin
16;29/1/2018;12:26:17;AM;737,22;7,782;sin
16;29/1/2018;01:26:17;AM;736,84;7,782;sin
16;29/1/2018;02:26:17;AM;735,74;7,682;sin
16;29/1/2018;03:26:17;AM;735,49;7,582;sin
16;29/1/2018;04:26:17;AM;734,95;7,582;sin
16;29/1/2018;05:26:17;AM;734,78;7,481;sin
16;29/1/2018;06:26:17;AM;733,52;7,381;sin
16;29/1/2018;07:26:17;AM;732,23;7,481;sin
16;29/1/2018;08:26:17;AM;731,15;7,481;sin
16;29/1/2018;09:26:17;AM;729,89;7,682;sin
16;29/1/2018;10:26:17;AM;729,7;7,882;sin
16;29/1/2018;11:26:17;AM;729,92;8,182;sin
16;29/1/2018;12:26:17;PM;730,55;8,68;sin
16;29/1/2018;01:26:17;PM;731,01;9,373;sin
16;29/1/2018;02:26:17;PM;731,65;9,866;sin
16;29/1/2018;03:26:17;PM;732,23;10,063;sin
16;29/1/2018;04:26:17;PM;732,89;9,866;sin
16;29/1/2018;05:26:17;PM;733,59;9,571;sin
16;29/1/2018;06:26:17;PM;734,05;9,176;sin
16;29/1/2018;07:26:17;PM;734,21;8,879;sin
16;29/1/2018;08:26:17;PM;734,77;8,581;sin
16;29/1/2018;09:26:17;PM;734,71;8,282;sin
16;29/1/2018;10:26:17;PM;734,98;8,082;sin
16;29/1/2018;11:26:17;PM;735,47;7,882;sin
16;30/1/2018;12:26:17;AM;734,89;7,682;sin
16;30/1/2018;01:26:17;AM;735,18;7,582;sin
16;30/1/2018;02:26:17;AM;735;7,481;sin
16;30/1/2018;03:26:17;AM;734,29;7,381;sin
16;30/1/2018;04:26:17;AM;734,04;7,28;sin
16;30/1/2018;05:26:17;AM;734,33;7,179;sin
16;30/1/2018;06:26:17;AM;734,46;7,079;sin
